Silicate_ID,Structure,E_ads,Include
FOR001_1,"{'numbers': [12, 12, 14, 8, 8, 8, 8, 8, 12, 12, 12, 12, 12, 12, 14, 14, 14, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 12, 12, 12, 12, 14, 8, 8, 8, 8, 8, 8, 8, 12, 14, 8, 8, 12, 6], 'positions': [[4.33287518, -0.64831221, 13.27446201], [7.21238868, -0.69014685, 14.79077022], [5.30840433, 1.39802315, 14.7907703], [6.01836791, 0.68299469, 13.48274749], [0.84274621, 0.42555228, 16.09879253], [6.01836832, 0.68299446, 16.09879322], [3.79806948, 0.69014685, 14.79077051], [8.97369143, 0.41840008, 14.79076972], [-0.84274621, 1.75685946, 16.30707786], [9.50849645, 6.56720208, 13.27446208], [4.33287518, 4.16203093, 13.27446201], [2.03676701, 1.79869389, 14.79077017], [6.62898346, 6.52536768, 11.75815368], [7.21238868, 4.12019629, 14.79077022], [5.30840433, 6.2083663, 14.7907703], [3.35734605, 2.11569554, 11.75815405], [0.13278256, 4.52086708, 14.79076978], [7.82300349, 3.08816603, 13.06617728], [6.01836791, 5.49333783, 13.48274749], [0.84274621, 5.23589543, 16.09879253], [0.84274655, 5.23589554, 13.48274668], [2.64738255, 2.83072402, 13.06617687], [6.01836832, 5.49333761, 16.09879322], [3.79806948, 5.50049, 14.79077051], [4.86768097, 2.8235719, 11.75815377], [8.97369143, 5.22874322, 14.79076972], [5.28384032, 3.02459467, 14.7907703], [3.38190989, 5.29946726, 11.7581541], [0.10821863, 2.89429553, 14.79076985], [4.93836115, 5.54893331, 18.36476532], [4.78770415, 3.33935331, 17.55530832], [-0.84274621, 6.5672026, 16.30707786], [4.33287518, 8.97237408, 13.27446201], [2.03676701, 6.60903703, 14.79077017], [7.21238868, 8.93053944, 14.79077022], [3.35734605, 6.92603869, 11.75815405], [7.82300349, 7.89850917, 13.06617728], [2.64738255, 7.64106716, 13.06617687], [6.01836832, 10.30368076, 16.09879322], [3.79806948, 10.31083314, 14.79077051], [4.86768097, 7.63391504, 11.75815377], [5.28384032, 7.83493782, 14.7907703], [0.10821863, 7.70463868, 14.79076985], [9.50849754, 1.75685946, 16.30707786], [10.48402631, 4.52086708, 14.79076978], [11.19398996, 5.23589543, 16.09879253], [10.45946238, 2.89429553, 14.79076985], [9.50849754, 6.5672026, 16.30707786], [4.86303215, 4.44414331, 17.96003632]], 'cell': [10.351243753, 9.620686292, 30.122919], 'pbc': [False, False, False]}","[-0.270887647250902, 178.331757184078, 3.40731381110398]",Yes
FOR001_2,"{'numbers': [12, 12, 12, 14, 8, 8, 8, 8, 8, 12, 12, 12, 12, 12, 14, 14, 14, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 12, 12, 12, 14, 14, 8, 8, 8, 8, 8, 8, 8, 8, 8, 12, 14, 8, 8, 12, 8, 6], 'positions': [[9.03301403, 1.40292078, 13.27446208], [6.15350104, 1.36108639, 11.75815368], [6.73690627, -1.044085, 14.79077022], [4.83292191, 1.044085, 14.7907703], [5.54288549, 0.32905654, 13.48274749], [0.36726379, 0.07161413, 16.09879253], [5.5428859, 0.32905631, 16.09879322], [3.32258706, 0.3362087, 14.79077051], [8.49820901, 0.06446193, 14.79076972], [9.03301403, 6.21326393, 13.27446208], [3.85739276, 3.80809278, 13.27446201], [1.5612846, 1.44475574, 14.79077017], [6.15350104, 6.17142953, 11.75815368], [6.73690627, 3.76625814, 14.79077022], [4.83292191, 5.85442815, 14.7907703], [8.05748511, 3.44925633, 11.7581543], [-0.34269986, 4.16692893, 14.79076978], [7.34752107, 2.73422788, 13.06617728], [5.54288549, 5.13939968, 13.48274749], [0.36726379, 4.88195728, 16.09879253], [0.36726414, 4.88195738, 13.48274668], [2.17190013, 2.47678586, 13.06617687], [5.5428859, 5.13939946, 16.09879322], [3.32258706, 5.14655185, 14.79077051], [4.39219855, 2.46963374, 11.75815377], [8.49820901, 4.87480507, 14.79076972], [4.8083579, 2.67065652, 14.7907703], [8.08204913, 5.0758278, 11.75815409], [2.90642747, 4.9455291, 11.7581541], [-0.36726379, 2.54035738, 14.79076985], [3.85739276, 8.61843593, 13.27446201], [1.5612846, 6.25509888, 14.79077017], [6.73690627, 8.57660129, 14.79077022], [4.83292191, 10.66477129, 14.7907703], [2.88186363, 6.57210054, 11.75815405], [7.34752107, 7.54457102, 13.06617728], [2.17190013, 7.28712901, 13.06617687], [5.5428859, 9.94974261, 16.09879322], [3.32258706, 9.95689499, 14.79077051], [4.39219855, 7.27997689, 11.75815377], [8.49820901, 9.68514822, 14.79076972], [4.8083579, 7.48099967, 14.7907703], [4.24952414, 4.09411503, 18.15417932], [6.38064614, 4.99083603, 17.69117432], [9.03301512, 1.40292131, 16.30707786], [10.00854389, 4.16692893, 14.79076978], [10.71850755, 4.88195728, 16.09879253], [9.98397996, 2.54035738, 14.79076985], [9.03301512, 6.21326445, 16.30707786], [9.98397996, 7.35070053, 14.79076985], [5.31508514, 4.54247503, 17.92267632]], 'cell': [10.351243753, 9.620686292, 29.912333000000004], 'pbc': [False, False, False]}","[-0.647672756950897, 175.552771498046, 2.77309559282496]",Yes
FOR001_3,"{'numbers': [8, 14, 8, 8, 12, 12, 12, 12, 14, 14, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 12, 12, 12, 12, 14, 14, 14, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 12, 12, 6], 'positions': [[-0.26740306, 3.98789905, 14.79076972], [6.4185536, 0.15717898, 14.7907703], [7.12851758, -0.55784971, 16.09879322], [4.90821875, -0.55069732, 14.79077051], [5.44302445, 2.92118676, 13.27446201], [3.14691628, 0.55784971, 14.79077017], [7.73913273, 5.28452351, 11.75815368], [8.32253795, 2.87935212, 14.79077022], [6.4185536, 4.96752212, 14.7907703], [1.24293182, 3.28002291, 14.79076978], [8.93315276, 1.84732185, 13.06617728], [7.12851718, 4.25249366, 13.48274749], [1.95289548, 3.99505125, 16.09879253], [1.95289582, 3.99505136, 13.48274668], [3.75753181, 1.58987984, 13.06617687], [7.12851758, 4.25249343, 16.09879322], [4.90821875, 4.25964582, 14.79077051], [10.0838407, 3.98789905, 14.79076972], [6.39398958, 1.7837505, 14.7907703], [4.49205916, 4.05862308, 11.7581541], [1.21836789, 1.65345136, 14.79076985], [4.26903052, 4.7731525, 18.02313432], [6.58485452, 5.2156665, 18.05927132], [0.26740306, 5.32635843, 16.30707786], [5.44302445, 7.7315299, 13.27446201], [3.14691628, 5.36819286, 14.79077017], [8.32253795, 7.68969526, 14.79077022], [6.4185536, 9.77786527, 14.7907703], [4.46749531, 5.68519451, 11.75815405], [1.24293182, 8.09036605, 14.79076978], [8.93315276, 6.657665, 13.06617728], [7.12851718, 9.0628368, 13.48274749], [1.95289548, 8.8053944, 16.09879253], [1.95289582, 8.80539451, 13.48274668], [3.75753181, 6.40022299, 13.06617687], [7.12851758, 9.06283658, 16.09879322], [4.90821875, 9.06998897, 14.79077051], [5.97783023, 6.39307086, 11.75815377], [10.0838407, 8.79824219, 14.79076972], [6.39398958, 6.59409364, 14.7907703], [1.21836789, 6.4637945, 14.79076985], [3.14691628, 10.178536, 14.79077017], [10.61864681, 5.32635843, 16.30707786], [5.42694252, 4.9944095, 18.04120332]], 'cell': [10.351243753, 9.620686292, 29.817424999999997], 'pbc': [False, False, False]}","[-0.228105565952546, 178.793204640298, 3.60460413050243]",Yes
FOR001_4,"{'numbers': [12, 12, 12, 14, 8, 8, 8, 8, 12, 12, 12, 12, 14, 14, 8, 8, 8, 8, 8, 8, 8, 8, 8, 12, 8, 8, 8, 8, 14, 8, 8, 12, 12, 14, 8, 8, 8, 8, 12, 12, 14, 8, 8, 6], 'positions': [[6.5910782, 1.76043513, 13.27446208], [3.71156521, 1.71860073, 11.75815368], [4.29497044, -0.68657066, 14.79077022], [2.39098608, 1.40159935, 14.7907703], [3.10094966, 0.68657088, 13.48274749], [3.10095007, 0.68657066, 16.09879322], [0.88065123, 0.69372305, 14.79077051], [6.05627318, 0.42197627, 14.79076972], [6.5910782, 6.57077827, 13.27446208], [1.41545693, 4.16560713, 13.27446201], [3.71156521, 6.52894388, 11.75815368], [4.29497044, 4.12377249, 14.79077022], [2.39098608, 6.21194249, 14.7907703], [5.61554928, 3.80677068, 11.7581543], [4.90558524, 3.09174222, 13.06617728], [3.10094966, 5.49691403, 13.48274749], [3.10095007, 5.4969138, 16.09879322], [0.88065123, 5.50406619, 14.79077051], [6.05627318, 5.23231942, 14.79076972], [2.36642207, 3.02817087, 14.7907703], [5.6401133, 5.43334214, 11.75815409], [4.56512433, 3.29661657, 18.02780532], [5.47454633, 5.47218857, 18.03001132], [4.29497044, 8.93411563, 14.79077022], [4.90558524, 7.90208537, 13.06617728], [3.10095007, 10.30725695, 16.09879322], [6.05627318, 10.04266256, 14.79076972], [2.36642207, 7.83851401, 14.7907703], [7.56660806, -0.28589987, 14.79076978], [8.27657172, 0.42912847, 16.09879253], [8.27657206, 0.42912858, 13.48274668], [6.59107929, 1.76043565, 16.30707786], [9.47059252, 1.80227008, 14.79077017], [7.56660806, 4.52444328, 14.79076978], [8.27657172, 5.23947162, 16.09879253], [8.27657206, 5.23947173, 13.48274668], [7.12588423, 3.09889432, 11.75815457], [7.54204413, 2.89787173, 14.79076985], [6.59107929, 6.5707788, 16.30707786], [9.47059252, 6.61261323, 14.79077017], [7.56660806, 9.33478642, 14.79076978], [8.27657172, 10.04981477, 16.09879253], [7.54204413, 7.70821487, 14.79076985], [5.01983533, 4.38440257, 18.02890832]], 'cell': [10.351243753, 9.620686292, 29.788164999999996], 'pbc': [False, False, False]}","[-2.22074992155581, 126.025150031641, 1.35164049664126]",Yes
FOR001_5,"{'numbers': [12, 12, 12, 8, 14, 14, 8, 8, 8, 8, 12, 12, 12, 12, 12, 14, 14, 14, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 12, 12, 12, 12, 14, 14, 8, 8, 8, 8, 8, 8, 6], 'positions': [[1.41545639, 1.55652354, 13.27446203], [1.41545639, 6.36686668, 13.27446203], [-0.88065137, 3.9198609, 14.79077018], [0.88065137, 5.02840783, 14.79076967], [7.56660803, 1.19768776, 14.79077026], [2.39098625, -0.48981146, 14.79076974], [3.10094991, 0.22521689, 16.09879249], [3.10095025, 0.225217, 13.48274664], [8.27657201, 0.48265907, 16.09879318], [6.05627318, 0.48981146, 14.79077047], [1.41545748, 1.55652406, 16.30707782], [6.59107888, 3.96169554, 13.27446197], [4.29497071, 1.59835849, 14.79077013], [3.71156499, 4.00352947, 11.75815387], [9.47059238, 3.9198609, 14.79077018], [7.56660803, 6.00803091, 14.79077026], [5.61554974, 1.91536015, 11.75815401], [2.39098625, 4.32053169, 14.79076974], [8.27657161, 5.29300244, 13.48274745], [3.10094991, 5.03556003, 16.09879249], [3.10095025, 5.03556014, 13.48274664], [4.90558624, 2.63038862, 13.06617682], [8.27657201, 5.29300222, 16.09879318], [6.05627318, 5.3001546, 14.79077047], [7.12588466, 2.6232365, 11.75815372], [11.23189513, 5.02840783, 14.79076967], [7.54204401, 2.82425928, 14.79077026], [5.64011359, 5.09913186, 11.75815405], [2.36642232, 2.69396014, 14.79076981], [4.22240422, 4.26724081, 18.52308128], [5.98166022, 5.49960481, 17.55021928], [1.41545748, 6.36686721, 16.30707782], [6.59107888, 8.77203868, 13.27446197], [4.29497071, 6.40870164, 14.79077013], [9.47059238, 8.73020405, 14.79077018], [5.61554974, 6.7257033, 11.75815401], [2.39098625, 9.13087483, 14.79076974], [3.10094991, 9.84590318, 16.09879249], [4.90558624, 7.44073177, 13.06617682], [8.27657201, 10.10334536, 16.09879318], [6.05627318, 10.11049775, 14.79077047], [7.54204401, 7.63460243, 14.79077026], [2.36642232, 7.50430329, 14.79076981], [5.10203222, 4.88342281, 18.03665028]], 'cell': [10.351243753, 9.620686292, 30.281235000000002], 'pbc': [False, False, False]}","[-0.816661246554986, 178.590153651933, 3.0044859796488]",Yes
FOR001_6,"{'numbers': [14, 8, 12, 12, 12, 12, 14, 8, 8, 8, 8, 8, 8, 8, 12, 12, 12, 12, 14, 14, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 12, 14, 8, 8, 8, 12, 12, 14, 8, 8, 8, 8, 12, 8, 6], 'positions': [[3.27163732, -0.45577141, 14.7907703], [3.9816013, -1.1708001, 16.09879322], [7.47172943, 4.71340751, 13.27446208], [2.29610817, 2.30823636, 13.27446201], [4.59221645, 4.67157311, 11.75815368], [5.17562167, 2.26640173, 14.79077022], [3.27163732, 4.35457173, 14.7907703], [5.78623648, 1.23437146, 13.06617728], [3.9816009, 3.63954326, 13.48274749], [3.9816013, 3.63954304, 16.09879322], [1.76130247, 3.64669543, 14.79077051], [6.93692442, 3.37494865, 14.79076972], [3.2470733, 1.1708001, 14.7907703], [6.52076454, 3.57597138, 11.75815409], [7.47172943, 9.52375066, 13.27446208], [2.29610817, 7.11857951, 13.27446201], [0.0, 4.75524247, 14.79077017], [5.17562167, 7.07674487, 14.79077022], [3.27163732, 9.16491488, 14.7907703], [6.49620052, 6.75974306, 11.7581543], [5.78623648, 6.04471461, 13.06617728], [3.9816009, 8.44988641, 13.48274749], [0.61061553, 5.78727259, 13.06617687], [3.9816013, 8.44988619, 16.09879322], [1.76130247, 8.45703857, 14.79077051], [2.83091395, 5.78012047, 11.75815377], [6.93692442, 8.1852918, 14.79076972], [3.2470733, 5.98114325, 14.7907703], [4.21170868, 5.6812965, 18.45337632], [6.31049468, 5.0431885, 17.58846032], [3.2470733, 10.7914864, 14.7907703], [7.47173053, -0.09693511, 16.30707786], [8.4472593, 2.66707251, 14.79076978], [9.15722295, 3.38210086, 16.09879253], [9.15722329, 3.38210097, 13.48274668], [8.42269537, 1.04050097, 14.79076985], [7.47173053, 4.71340803, 16.30707786], [10.35124375, 4.75524247, 14.79077017], [8.4472593, 7.47741566, 14.79076978], [9.15722295, 8.192444, 16.09879253], [9.15722329, 8.19244411, 13.48274668], [8.00653546, 6.0518667, 11.75815457], [8.42269537, 5.85084411, 14.79076985], [7.47173053, 9.52375118, 16.30707786], [8.42269537, 10.66118726, 14.79076985], [5.26110168, 5.3622425, 18.02091832]], 'cell': [10.351243753, 9.620686292, 30.21153], 'pbc': [False, False, False]}","[-1.88336934785661, 129.009548351768, 1.45231663079359]",Yes
FOR001_7,"{'numbers': [12, 12, 8, 8, 12, 12, 14, 8, 8, 8, 12, 12, 12, 14, 14, 8, 8, 8, 8, 8, 8, 8, 8, 12, 12, 12, 12, 12, 14, 14, 14, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 12, 12, 14, 8, 8, 8, 6], 'positions': [[2.89311795, 3.42833881, 13.27446203], [0.59701018, 0.98133302, 14.79077018], [-0.59701018, 2.35447434, 16.09879318], [2.35831293, 2.08987995, 14.79076967], [2.89311795, 8.23868196, 13.27446203], [0.59701018, 5.79167617, 14.79077018], [1.91758903, 5.47467436, 11.75815426], [1.20762499, 4.7596459, 13.06617724], [-0.59701018, 7.16481749, 16.09879318], [2.35831293, 6.9002231, 14.79076967], [2.89311904, -1.38200381, 16.30707782], [8.06874043, 1.02316766, 13.27446197], [5.77263227, -1.34016938, 14.79077013], [9.04426958, 3.06950303, 14.79077026], [3.86864781, 1.38200381, 14.79076974], [9.75423316, 2.35447456, 13.48274745], [4.57861146, 2.09703216, 16.09879249], [4.57861181, 2.09703227, 13.48274664], [9.75423357, 2.35447434, 16.09879318], [7.53393474, 2.36162673, 14.79077047], [9.01970557, -0.1142686, 14.79077026], [7.11777514, 2.16060399, 11.75815405], [3.84408388, -0.24456774, 14.79076981], [2.89311904, 3.42833933, 16.30707782], [8.06874043, 5.83351081, 13.27446197], [5.77263227, 3.47017376, 14.79077013], [5.18922655, 5.87534474, 11.75815387], [10.94825394, 5.79167617, 14.79077018], [9.04426958, 7.87984618, 14.79077026], [7.0932113, 3.78717542, 11.75815401], [3.86864781, 6.19234696, 14.79076974], [9.75423316, 7.16481771, 13.48274745], [4.57861146, 6.9073753, 16.09879249], [4.57861181, 6.90737541, 13.48274664], [6.3832478, 4.50220389, 13.06617682], [9.75423357, 7.16481749, 16.09879318], [7.53393474, 7.17196987, 14.79077047], [3.42792398, 4.766798, 11.75815452], [8.60354622, 4.49505177, 11.75815372], [9.01970557, 4.69607455, 14.79077026], [7.11777514, 6.97094713, 11.75815405], [3.84408388, 4.56577541, 14.79076981], [4.16066296, 5.48959918, 17.68802628], [6.17711096, 4.26996218, 17.60686328], [2.89311904, 8.23868248, 16.30707782], [5.77263227, 8.28051691, 14.79077013], [3.86864781, 11.00269011, 14.79076974], [6.3832478, 9.31254704, 13.06617682], [9.01970557, 9.5064177, 14.79077026], [3.84408388, 9.37611856, 14.79076981], [5.16888696, 4.87978018, 17.64744528]], 'cell': [10.351243753, 9.620686292, 29.44618], 'pbc': [False, False, False]}","[-0.634717007856352, 177.146129460436, 2.96303805577444]",Yes
FOR001_8,"{'numbers': [12, 12, 12, 14, 8, 8, 8, 8, 12, 12, 12, 14, 14, 8, 8, 8, 8, 8, 8, 8, 12, 8, 8, 8, 8, 8, 14, 8, 8, 8, 12, 12, 14, 8, 8, 8, 8, 8, 8, 12, 12, 14, 8, 6], 'positions': [[5.71042696, 2.5056827, 13.27446208], [2.83091398, 2.4638483, 11.75815368], [3.4143192, 0.05867692, 14.79077022], [1.51033485, 2.14684692, 14.7907703], [2.22029843, 1.43181845, 13.48274749], [2.22029883, 1.43181823, 16.09879322], [0.0, 1.43897062, 14.79077051], [5.17562195, 1.16722384, 14.79076972], [5.71042696, 7.31602585, 13.27446208], [0.5348057, 4.9108547, 13.27446201], [3.4143192, 4.86902006, 14.79077022], [1.51033485, 6.95719007, 14.7907703], [4.73489805, 4.55201825, 11.7581543], [4.02493401, 3.8369898, 13.06617728], [2.22029843, 6.2421616, 13.48274749], [2.22029883, 6.24216138, 16.09879322], [0.0, 6.24931376, 14.79077051], [5.17562195, 5.97756699, 14.79076972], [1.48577083, 3.77341844, 14.7907703], [4.75946207, 6.17858971, 11.75815409], [3.4143192, 9.67936321, 14.79077022], [4.02493401, 8.64733294, 13.06617728], [5.17562195, 10.78791014, 14.79076972], [1.48577083, 8.58376159, 14.7907703], [4.06182708, 5.52451371, 18.52358332], [5.30829308, 3.75532871, 17.58738232], [6.68595683, 0.4593477, 14.79076978], [7.39592048, 1.17437605, 16.09879253], [7.39592082, 1.17437616, 13.48274668], [6.6613929, -1.16722384, 14.79076985], [5.71042806, 2.50568322, 16.30707786], [8.58994128, 2.54751766, 14.79077017], [6.68595683, 5.26969085, 14.79076978], [7.39592048, 5.98471919, 16.09879253], [7.39592082, 5.9847193, 13.48274668], [9.20055682, 3.57954778, 13.06617687], [10.35124375, 6.24931376, 14.79077051], [6.24523299, 3.84414189, 11.75815457], [6.6613929, 3.6431193, 14.79076985], [5.71042806, 7.31602637, 16.30707786], [8.58994128, 7.3578608, 14.79077017], [6.68595683, 10.080034, 14.79076978], [6.6613929, 8.45346245, 14.79076985], [4.68506008, 4.63992071, 18.05548232]], 'cell': [10.351243753, 9.620686292, 30.281737], 'pbc': [False, False, False]}","[-0.844582373550338, 174.490731746496, 2.74061917503921]",Yes
FOR001_9,"{'numbers': [12, 12, 14, 8, 8, 8, 12, 12, 12, 12, 14, 14, 8, 8, 8, 8, 8, 8, 8, 8, 8, 12, 8, 8, 8, 8, 14, 8, 8, 12, 12, 14, 8, 8, 8, 8, 8, 8, 12, 12, 14, 8, 8, 12, 6], 'positions': [[5.71042696, 1.22350263, 13.27446208], [3.4143192, -1.22350315, 14.79077022], [1.51033485, 0.86466685, 14.7907703], [2.22029843, 0.14963838, 13.48274749], [2.22029883, 0.14963816, 16.09879322], [5.17562195, -0.11495622, 14.79076972], [5.71042696, 6.03384578, 13.27446208], [0.5348057, 3.62867463, 13.27446201], [2.83091398, 5.99201138, 11.75815368], [3.4143192, 3.58683999, 14.79077022], [1.51033485, 5.67501, 14.7907703], [4.73489805, 3.26983818, 11.7581543], [4.02493401, 2.55480973, 13.06617728], [2.22029843, 4.95998153, 13.48274749], [2.22029883, 4.95998131, 16.09879322], [0.0, 4.9671337, 14.79077051], [5.17562195, 4.69538692, 14.79076972], [1.48577083, 2.49123837, 14.7907703], [4.75946207, 4.89640964, 11.75815409], [4.95918727, 3.07736756, 18.39396032], [4.91618827, 5.31974156, 17.66589932], [3.4143192, 8.39718314, 14.79077022], [4.02493401, 7.36515287, 13.06617728], [2.22029883, 9.77032445, 16.09879322], [5.17562195, 9.50573007, 14.79076972], [1.48577083, 7.30158152, 14.7907703], [6.68595683, -0.82283237, 14.79076978], [7.39592048, -0.10780402, 16.09879253], [7.39592082, -0.10780391, 13.48274668], [5.71042806, 1.22350315, 16.30707786], [8.58994128, 1.26533759, 14.79077017], [6.68595683, 3.98751078, 14.79076978], [7.39592048, 4.70253912, 16.09879253], [7.39592082, 4.70253923, 13.48274668], [9.20055682, 2.29736771, 13.06617687], [10.35124375, 4.9671337, 14.79077051], [6.24523299, 2.56196182, 11.75815457], [6.6613929, 2.36093923, 14.79076985], [5.71042806, 6.0338463, 16.30707786], [8.58994128, 6.07568073, 14.79077017], [6.68595683, 8.79785393, 14.79076978], [7.39592048, 9.51288227, 16.09879253], [6.6613929, 7.17128238, 14.79076985], [5.71042806, 10.84418945, 16.30707786], [4.93768727, 4.19855456, 18.02993032]], 'cell': [10.351243753, 9.620686292, 30.152113999999997], 'pbc': [False, False, False]}","[-0.723836746151619, 177.741843739427, 2.87414483446764]",Yes
FOR001_10,"{'numbers': [12, 12, 12, 14, 8, 8, 8, 8, 8, 8, 8, 12, 12, 12, 12, 14, 14, 8, 8, 8, 8, 8, 8, 8, 8, 8, 12, 8, 8, 12, 14, 8, 8, 8, 12, 12, 14, 8, 8, 8, 8, 12, 12, 8, 6], 'positions': [[7.47172943, 3.6286742, 13.27446208], [4.59221645, 3.58683981, 11.75815368], [5.17562167, 1.18166842, 14.79077022], [3.27163732, 3.26983842, 14.7907703], [5.78623648, 0.14963815, 13.06617728], [3.9816009, 2.55480996, 13.48274749], [3.9816013, 2.55480973, 16.09879322], [1.76130247, 2.56196212, 14.79077051], [6.93692442, 2.29021535, 14.79076972], [3.2470733, 0.0860668, 14.7907703], [6.52076454, 2.49123807, 11.75815409], [7.47172943, 8.43901735, 13.27446208], [2.29610817, 6.0338462, 13.27446201], [0.0, 3.67050916, 14.79077017], [5.17562167, 5.99201156, 14.79077022], [3.27163732, 8.08018157, 14.7907703], [6.49620052, 5.67500976, 11.7581543], [5.78623648, 4.9599813, 13.06617728], [3.9816009, 7.3651531, 13.48274749], [3.9816013, 7.36515288, 16.09879322], [1.76130247, 7.37230527, 14.79077051], [6.93692442, 7.10055849, 14.79076972], [3.2470733, 4.89640994, 14.7907703], [6.52076454, 7.30158122, 11.75815409], [7.0826167, 5.2173694, 18.44629132], [4.9301857, 4.7922434, 17.58230332], [5.17562167, 10.80235471, 14.79077022], [5.78623648, 9.77032445, 13.06617728], [3.2470733, 9.70675309, 14.7907703], [7.47173053, -1.18166842, 16.30707786], [8.4472593, 1.58233921, 14.79076978], [9.15722295, 2.29736755, 16.09879253], [9.15722329, 2.29736766, 13.48274668], [8.42269537, -0.04423234, 14.79076985], [7.47173053, 3.62867473, 16.30707786], [10.35124375, 3.67050916, 14.79077017], [8.4472593, 6.39268235, 14.79076978], [9.15722295, 7.1077107, 16.09879253], [9.15722329, 7.10771081, 13.48274668], [8.00653546, 4.96713339, 11.75815457], [8.42269537, 4.7661108, 14.79076985], [7.47173053, 8.43901787, 16.30707786], [10.35124375, 8.4808523, 14.79077017], [8.42269537, 9.57645395, 14.79076985], [6.0064017, 5.0048064, 18.01429732]], 'cell': [10.351243753, 9.620686292, 30.204444999999996], 'pbc': [False, False, False]}","[-1.88156509685109, 129.331587660529, 1.4539197880032]",Yes
