MgO_ID,Structure,E_ads
111-O_9,"{'numbers': [12, 12, 8, 8, 12, 12, 8, 8, 8, 8, 12, 12, 8, 8, 8, 8, 8, 12, 12, 8, 8, 8, 12, 12, 12, 8, 8, 8, 12, 12, 12, 12, 8, 8, 8, 8, 8, 8, 12, 8, 8, 12, 8, 12, 8, 6], 'positions': [[2.97204939, 4.2518119, 3.67434434], [4.4860247, 6.87409405, 3.67434434], [4.4860247, 8.62228215, 4.9105], [2.97204939, 6.0, 4.9105], [2.97204939, 7.7481881, 6.14665566], [1.45807409, 5.12590595, 6.14665566], [4.4860247, 6.87409405, 7.38281132], [2.97204939, 4.2518119, 7.38281132], [1.45807409, 6.87409405, 7.38281132], [1.12309879, 6.0, 8.32565566], [6.0, 9.4963762, 3.67434434], [4.4860247, 10.37047024, 6.14665566], [6.0, 9.4963762, 7.38281132], [2.97204939, 9.4963762, 7.38281132], [4.15104939, 11.24456429, 8.32565566], [4.4860247, 3.37771785, 4.9105], [7.5139753, 3.37771785, 4.9105], [6.0, 2.5036238, 6.14665566], [2.97204939, 2.5036238, 6.14665566], [7.5139753, 1.62952976, 7.38281132], [4.4860247, 1.62952976, 7.38281132], [4.15104939, 0.75543571, 8.32565566], [9.02795061, 4.2518119, 3.67434434], [6.0, 4.2518119, 3.67434434], [7.5139753, 6.87409405, 3.67434434], [7.5139753, 8.62228215, 4.9105], [6.0, 6.0, 4.9105], [9.02795061, 6.0, 4.9105], [9.02795061, 7.7481881, 6.14665566], [7.5139753, 5.12590595, 6.14665566], [6.0, 7.7481881, 6.14665566], [4.4860247, 5.12590595, 6.14665566], [10.54192591, 6.87409405, 7.38281132], [9.02795061, 4.2518119, 7.38281132], [7.5139753, 6.87409405, 7.38281132], [6.0, 4.2518119, 7.38281132], [7.179, 6.0, 8.32565566], [4.821, 6.0, 8.32565566], [7.5139753, 10.37047024, 6.14665566], [9.02795061, 9.4963762, 7.38281132], [7.84895061, 11.24456429, 8.32565566], [9.02795061, 2.5036238, 6.14665566], [7.84895061, 0.75543571, 8.32565566], [10.54192591, 5.12590595, 6.14665566], [10.87690121, 6.0, 8.32565566], [6.0, 6.0, 8.32565566]], 'cell': [[12.0, 0.0, 0.0], [0.0, 12.0, 0.0], [0.0, 0.0, 12.0]], 'pbc': [False, False, False]}","[115.076005109212,1.32567745666906]"
110_1,"{'numbers': [12, 8, 8, 12, 12, 12, 12, 12, 8, 8, 8, 8, 12, 12, 12, 8, 8, 8, 8, 6], 'positions': [[2.97204939, 6.0, 4.54298765], [2.97204939, 3.85891559, 4.54298765], [2.97204939, 8.14108441, 4.54298765], [6.0, 1.71783119, 4.54298765], [4.4860247, 3.85891559, 3.02901235], [9.02795061, 6.0, 4.54298765], [6.0, 6.0, 4.54298765], [7.5139753, 3.85891559, 3.02901235], [6.0, 3.85891559, 4.54298765], [7.5139753, 6.0, 3.02901235], [4.4860247, 6.0, 3.02901235], [9.02795061, 3.85891559, 4.54298765], [4.4860247, 8.14108441, 3.02901235], [6.0, 10.28216881, 4.54298765], [7.5139753, 8.14108441, 3.02901235], [6.0, 8.14108441, 4.54298765], [9.02795061, 8.14108441, 4.54298765], [6.0, 6.0, 6.61298765], [6.0, 6.0, 8.97098765], [6.0, 6.0, 7.79198765]], 'cell': [[12.0, 0.0, 0.0], [0.0, 12.0, 0.0], [0.0, 0.0, 12.0]], 'pbc': [False, False, False]}","[179.999994600261,3.38060852950863]"
110_2,"{'numbers': [12, 12, 8, 8, 12, 8, 8, 12, 12, 8, 8, 12, 8, 12, 12, 12, 12, 8, 8, 8, 8, 8, 12, 12, 12, 12, 8, 8, 8, 8, 8, 8, 8, 8, 6], 'positions': [[2.97204939, 1.71783119, 6.4289753], [2.97204939, 6.0, 6.4289753], [1.45807409, 6.0, 4.915], [2.97204939, 3.85891559, 6.4289753], [2.97204939, 10.28216881, 6.4289753], [2.97204939, 8.14108441, 6.4289753], [1.12309879, 6.0, 8.5989753], [9.02795061, 1.71783119, 6.4289753], [6.0, 1.71783119, 6.4289753], [7.5139753, 1.71783119, 4.915], [4.4860247, 1.71783119, 4.915], [6.0, 6.0, 3.4010247], [6.0, 3.85891559, 3.4010247], [4.4860247, 3.85891559, 4.915], [9.02795061, 6.0, 6.4289753], [6.0, 6.0, 6.4289753], [7.5139753, 3.85891559, 4.915], [6.0, 3.85891559, 6.4289753], [7.5139753, 6.0, 4.915], [4.4860247, 6.0, 4.915], [9.02795061, 3.85891559, 6.4289753], [6.0, 8.14108441, 3.4010247], [4.4860247, 8.14108441, 4.915], [9.02795061, 10.28216881, 6.4289753], [6.0, 10.28216881, 6.4289753], [7.5139753, 8.14108441, 4.915], [6.0, 8.14108441, 6.4289753], [7.5139753, 10.28216881, 4.915], [4.4860247, 10.28216881, 4.915], [9.02795061, 8.14108441, 6.4289753], [7.179, 6.0, 8.5989753], [4.821, 6.0, 8.5989753], [10.54192591, 6.0, 4.915], [10.87690121, 6.0, 8.5989753], [6.0, 6.0, 8.5989753]], 'cell': [[12.0, 0.0, 0.0], [0.0, 12.0, 0.0], [0.0, 0.0, 12.0]], 'pbc': [False, False, False]}","[178.227543791878,3.03358273065488]"
110_3,"{'numbers': [12, 12, 8, 8, 12, 8, 12, 12, 8, 8, 12, 8, 12, 12, 12, 12, 8, 8, 8, 8, 8, 12, 12, 12, 12, 8, 8, 8, 8, 8, 8, 8, 6], 'positions': [[2.97204939, 1.71783119, 6.4289753], [2.97204939, 6.0, 6.4289753], [1.45807409, 6.0, 4.915], [2.97204939, 3.85891559, 6.4289753], [2.97204939, 10.28216881, 6.4289753], [2.97204939, 8.14108441, 6.4289753], [9.02795061, 1.71783119, 6.4289753], [6.0, 1.71783119, 6.4289753], [7.5139753, 1.71783119, 4.915], [4.4860247, 1.71783119, 4.915], [6.0, 6.0, 3.4010247], [6.0, 3.85891559, 3.4010247], [4.4860247, 3.85891559, 4.915], [9.02795061, 6.0, 6.4289753], [6.0, 6.0, 6.4289753], [7.5139753, 3.85891559, 4.915], [6.0, 3.85891559, 6.4289753], [7.5139753, 6.0, 4.915], [4.4860247, 6.0, 4.915], [9.02795061, 3.85891559, 6.4289753], [6.0, 8.14108441, 3.4010247], [4.4860247, 8.14108441, 4.915], [9.02795061, 10.28216881, 6.4289753], [6.0, 10.28216881, 6.4289753], [7.5139753, 8.14108441, 4.915], [6.0, 8.14108441, 6.4289753], [7.5139753, 10.28216881, 4.915], [4.4860247, 10.28216881, 4.915], [9.02795061, 8.14108441, 6.4289753], [6.0, 7.179, 8.5989753], [6.0, 4.821, 8.5989753], [10.54192591, 6.0, 4.915], [6.0, 6.0, 8.5989753]], 'cell': [[12.0, 0.0, 0.0], [0.0, 12.0, 0.0], [0.0, 0.0, 12.0]], 'pbc': [False, False, False]}","[178.914606301871,3.66602332765882]"
110_4,"{'numbers': [12, 12, 8, 8, 12, 8, 8, 12, 12, 8, 8, 12, 8, 12, 12, 12, 12, 8, 8, 8, 8, 8, 12, 12, 12, 12, 8, 8, 8, 8, 8, 8, 8, 8, 6], 'positions': [[2.97204939, 1.71783119, 6.4289753], [2.97204939, 6.0, 6.4289753], [1.45807409, 6.0, 4.915], [2.97204939, 3.85891559, 6.4289753], [2.97204939, 10.28216881, 6.4289753], [2.97204939, 8.14108441, 6.4289753], [0.62482005, 6.96263158, 8.5989753], [9.02795061, 1.71783119, 6.4289753], [6.0, 1.71783119, 6.4289753], [7.5139753, 1.71783119, 4.915], [4.4860247, 1.71783119, 4.915], [6.0, 6.0, 3.4010247], [6.0, 3.85891559, 3.4010247], [4.4860247, 3.85891559, 4.915], [9.02795061, 6.0, 6.4289753], [6.0, 6.0, 6.4289753], [7.5139753, 3.85891559, 4.915], [6.0, 3.85891559, 6.4289753], [7.5139753, 6.0, 4.915], [4.4860247, 6.0, 4.915], [9.02795061, 3.85891559, 6.4289753], [6.0, 8.14108441, 3.4010247], [4.4860247, 8.14108441, 4.915], [9.02795061, 10.28216881, 6.4289753], [6.0, 10.28216881, 6.4289753], [7.5139753, 8.14108441, 4.915], [6.0, 8.14108441, 6.4289753], [7.5139753, 10.28216881, 4.915], [4.4860247, 10.28216881, 4.915], [9.02795061, 8.14108441, 6.4289753], [6.68072126, 6.96263158, 8.5989753], [5.31927874, 5.03736842, 8.5989753], [10.54192591, 6.0, 4.915], [11.37517995, 5.03736842, 8.5989753], [6.0, 6.0, 8.5989753]], 'cell': [[12.0, 0.0, 0.0], [0.0, 12.0, 0.0], [0.0, 0.0, 12.0]], 'pbc': [False, False, False]}","[178.778822044458,3.27849321319168]"
110_5,"{'numbers': [12, 8, 12, 8, 8, 12, 12, 12, 8, 8, 8, 8, 12, 8, 12, 12, 12, 12, 8, 8, 8, 8, 8, 8, 8, 8, 6], 'positions': [[2.97204939, 3.85891559, 5.6749753], [2.97204939, 1.71783119, 5.6749753], [2.97204939, 8.14108441, 5.6749753], [2.97204939, 6.0, 5.6749753], [2.97204939, 10.28216881, 5.6749753], [6.0, 3.85891559, 2.6470247], [9.02795061, 3.85891559, 5.6749753], [6.0, 3.85891559, 5.6749753], [6.0, 1.71783119, 5.6749753], [7.5139753, 3.85891559, 4.161], [4.4860247, 3.85891559, 4.161], [9.02795061, 1.71783119, 5.6749753], [6.0, 8.14108441, 2.6470247], [6.0, 6.0, 2.6470247], [4.4860247, 6.0, 4.161], [9.02795061, 8.14108441, 5.6749753], [6.0, 8.14108441, 5.6749753], [7.5139753, 6.0, 4.161], [6.0, 6.0, 5.6749753], [7.5139753, 8.14108441, 4.161], [4.4860247, 8.14108441, 4.161], [9.02795061, 6.0, 5.6749753], [6.0, 6.0, 6.9949753], [6.0, 6.0, 9.3529753], [6.0, 10.28216881, 5.6749753], [9.02795061, 10.28216881, 5.6749753], [6.0, 6.0, 8.1739753]], 'cell': [[12.0, 0.0, 0.0], [0.0, 12.0, 0.0], [0.0, 0.0, 12.0]], 'pbc': [False, False, False]}","[179.999999146226,4.40109824545975]"
110_6,"{'numbers': [12, 12, 8, 8, 12, 8, 12, 12, 8, 8, 8, 12, 12, 12, 12, 12, 12, 8, 8, 8, 8, 12, 12, 8, 8, 12, 12, 12, 12, 8, 8, 8, 8, 8, 8, 12, 12, 8, 8, 8, 12, 8, 6], 'positions': [[2.97204939, 3.85891559, 3.7760247], [2.97204939, 3.85891559, 6.8039753], [1.45807409, 3.85891559, 5.29], [2.97204939, 1.71783119, 6.8039753], [2.97204939, 8.14108441, 3.7760247], [2.97204939, 6.0, 3.7760247], [2.97204939, 8.14108441, 6.8039753], [1.45807409, 6.0, 5.29], [1.45807409, 8.14108441, 5.29], [2.97204939, 6.0, 6.8039753], [2.97204939, 10.28216881, 6.8039753], [6.0, 3.85891559, 3.7760247], [9.02795061, 3.85891559, 3.7760247], [4.4860247, 1.71783119, 5.29], [9.02795061, 3.85891559, 6.8039753], [6.0, 3.85891559, 6.8039753], [7.5139753, 1.71783119, 5.29], [6.0, 1.71783119, 6.8039753], [7.5139753, 3.85891559, 5.29], [4.4860247, 3.85891559, 5.29], [9.02795061, 1.71783119, 6.8039753], [6.0, 8.14108441, 3.7760247], [9.02795061, 8.14108441, 3.7760247], [9.02795061, 6.0, 3.7760247], [6.0, 6.0, 3.7760247], [4.4860247, 6.0, 5.29], [9.02795061, 8.14108441, 6.8039753], [6.0, 8.14108441, 6.8039753], [7.5139753, 6.0, 5.29], [6.0, 6.0, 6.8039753], [7.5139753, 8.14108441, 5.29], [4.4860247, 8.14108441, 5.29], [9.02795061, 6.0, 6.8039753], [6.0, 7.179, 8.2239753], [6.0, 4.821, 8.2239753], [4.4860247, 10.28216881, 5.29], [7.5139753, 10.28216881, 5.29], [6.0, 10.28216881, 6.8039753], [9.02795061, 10.28216881, 6.8039753], [10.54192591, 3.85891559, 5.29], [10.54192591, 6.0, 5.29], [10.54192591, 8.14108441, 5.29], [6.0, 6.0, 8.2239753]], 'cell': [[12.0, 0.0, 0.0], [0.0, 12.0, 0.0], [0.0, 0.0, 12.0]], 'pbc': [False, False, False]}","[129.483719771172,1.34936085210151]"
110_7,"{'numbers': [12, 12, 8, 8, 12, 8, 12, 12, 8, 8, 8, 8, 12, 12, 12, 12, 12, 12, 8, 8, 8, 8, 12, 12, 8, 8, 12, 12, 12, 12, 8, 8, 8, 8, 8, 8, 12, 12, 8, 8, 8, 12, 8, 8, 6], 'positions': [[2.97204939, 3.85891559, 3.7760247], [2.97204939, 3.85891559, 6.8039753], [1.45807409, 3.85891559, 5.29], [2.97204939, 1.71783119, 6.8039753], [2.97204939, 8.14108441, 3.7760247], [2.97204939, 6.0, 3.7760247], [2.97204939, 8.14108441, 6.8039753], [1.45807409, 6.0, 5.29], [1.45807409, 8.14108441, 5.29], [2.97204939, 6.0, 6.8039753], [1.12309879, 6.0, 8.2239753], [2.97204939, 10.28216881, 6.8039753], [6.0, 3.85891559, 3.7760247], [9.02795061, 3.85891559, 3.7760247], [4.4860247, 1.71783119, 5.29], [9.02795061, 3.85891559, 6.8039753], [6.0, 3.85891559, 6.8039753], [7.5139753, 1.71783119, 5.29], [6.0, 1.71783119, 6.8039753], [7.5139753, 3.85891559, 5.29], [4.4860247, 3.85891559, 5.29], [9.02795061, 1.71783119, 6.8039753], [6.0, 8.14108441, 3.7760247], [9.02795061, 8.14108441, 3.7760247], [9.02795061, 6.0, 3.7760247], [6.0, 6.0, 3.7760247], [4.4860247, 6.0, 5.29], [9.02795061, 8.14108441, 6.8039753], [6.0, 8.14108441, 6.8039753], [7.5139753, 6.0, 5.29], [6.0, 6.0, 6.8039753], [7.5139753, 8.14108441, 5.29], [4.4860247, 8.14108441, 5.29], [9.02795061, 6.0, 6.8039753], [7.179, 6.0, 8.2239753], [4.821, 6.0, 8.2239753], [4.4860247, 10.28216881, 5.29], [7.5139753, 10.28216881, 5.29], [6.0, 10.28216881, 6.8039753], [9.02795061, 10.28216881, 6.8039753], [10.54192591, 3.85891559, 5.29], [10.54192591, 6.0, 5.29], [10.54192591, 8.14108441, 5.29], [10.87690121, 6.0, 8.2239753], [6.0, 6.0, 8.2239753]], 'cell': [[12.0, 0.0, 0.0], [0.0, 12.0, 0.0], [0.0, 0.0, 12.0]], 'pbc': [False, False, False]}","[178.609840485504,3.11800552391503]"
110_8,"{'numbers': [12, 12, 8, 8, 12, 8, 12, 12, 8, 8, 8, 8, 12, 12, 12, 12, 12, 12, 8, 8, 8, 8, 12, 12, 8, 8, 12, 12, 12, 12, 8, 8, 8, 8, 8, 8, 12, 12, 8, 8, 8, 12, 8, 8, 6], 'positions': [[2.97204939, 3.85891559, 3.7760247], [2.97204939, 3.85891559, 6.8039753], [1.45807409, 3.85891559, 5.29], [2.97204939, 1.71783119, 6.8039753], [2.97204939, 8.14108441, 3.7760247], [2.97204939, 6.0, 3.7760247], [2.97204939, 8.14108441, 6.8039753], [1.45807409, 6.0, 5.29], [1.45807409, 8.14108441, 5.29], [2.97204939, 6.0, 6.8039753], [0.62482005, 5.03736842, 8.2239753], [2.97204939, 10.28216881, 6.8039753], [6.0, 3.85891559, 3.7760247], [9.02795061, 3.85891559, 3.7760247], [4.4860247, 1.71783119, 5.29], [9.02795061, 3.85891559, 6.8039753], [6.0, 3.85891559, 6.8039753], [7.5139753, 1.71783119, 5.29], [6.0, 1.71783119, 6.8039753], [7.5139753, 3.85891559, 5.29], [4.4860247, 3.85891559, 5.29], [9.02795061, 1.71783119, 6.8039753], [6.0, 8.14108441, 3.7760247], [9.02795061, 8.14108441, 3.7760247], [9.02795061, 6.0, 3.7760247], [6.0, 6.0, 3.7760247], [4.4860247, 6.0, 5.29], [9.02795061, 8.14108441, 6.8039753], [6.0, 8.14108441, 6.8039753], [7.5139753, 6.0, 5.29], [6.0, 6.0, 6.8039753], [7.5139753, 8.14108441, 5.29], [4.4860247, 8.14108441, 5.29], [9.02795061, 6.0, 6.8039753], [6.68072126, 5.03736842, 8.2239753], [5.31927874, 6.96263158, 8.2239753], [4.4860247, 10.28216881, 5.29], [7.5139753, 10.28216881, 5.29], [6.0, 10.28216881, 6.8039753], [9.02795061, 10.28216881, 6.8039753], [10.54192591, 3.85891559, 5.29], [10.54192591, 6.0, 5.29], [10.54192591, 8.14108441, 5.29], [11.37517995, 6.96263158, 8.2239753], [6.0, 6.0, 8.2239753]], 'cell': [[12.0, 0.0, 0.0], [0.0, 12.0, 0.0], [0.0, 0.0, 12.0]], 'pbc': [False, False, False]}","[129.556305945567,1.34954495588577]"
110_9,"{'numbers': [12, 12, 8, 8, 8, 12, 12, 8, 12, 12, 12, 8, 12, 12, 12, 12, 8, 8, 8, 8, 12, 8, 8, 12, 12, 12, 12, 8, 8, 8, 8, 8, 8, 8, 8, 12, 6], 'positions': [[2.97204939, 4.9294578, 3.3070247], [2.97204939, 4.9294578, 6.3349753], [1.45807409, 4.9294578, 4.821], [2.97204939, 2.78837339, 6.3349753], [2.97204939, 7.0705422, 3.3070247], [2.97204939, 9.21162661, 6.3349753], [1.45807409, 7.0705422, 4.821], [2.97204939, 7.0705422, 6.3349753], [6.0, 0.64728898, 6.3349753], [6.0, 4.9294578, 3.3070247], [9.02795061, 4.9294578, 3.3070247], [6.0, 2.78837339, 3.3070247], [4.4860247, 2.78837339, 4.821], [9.02795061, 4.9294578, 6.3349753], [6.0, 4.9294578, 6.3349753], [7.5139753, 2.78837339, 4.821], [6.0, 2.78837339, 6.3349753], [7.5139753, 4.9294578, 4.821], [4.4860247, 4.9294578, 4.821], [9.02795061, 2.78837339, 6.3349753], [6.0, 9.21162661, 3.3070247], [9.02795061, 7.0705422, 3.3070247], [6.0, 7.0705422, 3.3070247], [4.4860247, 7.0705422, 4.821], [9.02795061, 9.21162661, 6.3349753], [6.0, 9.21162661, 6.3349753], [7.5139753, 7.0705422, 4.821], [6.0, 7.0705422, 6.3349753], [7.5139753, 9.21162661, 4.821], [4.4860247, 9.21162661, 4.821], [9.02795061, 7.0705422, 6.3349753], [6.0, 6.0, 6.3349753], [6.0, 6.0, 8.6929753], [6.0, 11.35271102, 6.3349753], [10.54192591, 4.9294578, 4.821], [10.54192591, 7.0705422, 4.821], [6.0, 6.0, 7.5139753]], 'cell': [[12.0, 0.0, 0.0], [0.0, 12.0, 0.0], [0.0, 0.0, 12.0]], 'pbc': [False, False, False]}","[129.655091047327,1.34948156240823]"
110_10,"{'numbers': [12, 12, 8, 8, 8, 12, 12, 8, 12, 12, 12, 8, 12, 12, 12, 12, 8, 8, 8, 8, 12, 8, 8, 12, 12, 12, 12, 8, 8, 8, 8, 8, 8, 8, 8, 12, 6], 'positions': [[2.97204939, 4.9294578, 3.5885247], [2.97204939, 4.9294578, 6.6164753], [1.45807409, 4.9294578, 5.1025], [2.97204939, 2.78837339, 6.6164753], [2.97204939, 7.0705422, 3.5885247], [2.97204939, 9.21162661, 6.6164753], [1.45807409, 7.0705422, 5.1025], [2.97204939, 7.0705422, 6.6164753], [6.0, 0.64728898, 6.6164753], [6.0, 4.9294578, 3.5885247], [9.02795061, 4.9294578, 3.5885247], [6.0, 2.78837339, 3.5885247], [4.4860247, 2.78837339, 5.1025], [9.02795061, 4.9294578, 6.6164753], [6.0, 4.9294578, 6.6164753], [7.5139753, 2.78837339, 5.1025], [6.0, 2.78837339, 6.6164753], [7.5139753, 4.9294578, 5.1025], [4.4860247, 4.9294578, 5.1025], [9.02795061, 2.78837339, 6.6164753], [6.0, 9.21162661, 3.5885247], [9.02795061, 7.0705422, 3.5885247], [6.0, 7.0705422, 3.5885247], [4.4860247, 7.0705422, 5.1025], [9.02795061, 9.21162661, 6.6164753], [6.0, 9.21162661, 6.6164753], [7.5139753, 7.0705422, 5.1025], [6.0, 7.0705422, 6.6164753], [7.5139753, 9.21162661, 5.1025], [4.4860247, 9.21162661, 5.1025], [9.02795061, 7.0705422, 6.6164753], [6.0, 7.179, 8.4114753], [6.0, 4.821, 8.4114753], [6.0, 11.35271102, 6.6164753], [10.54192591, 4.9294578, 5.1025], [10.54192591, 7.0705422, 5.1025], [6.0, 6.0, 8.4114753]], 'cell': [[12.0, 0.0, 0.0], [0.0, 12.0, 0.0], [0.0, 0.0, 12.0]], 'pbc': [False, False, False]}","[129.671627113057,1.34974450780237]"
110_11,"{'numbers': [12, 8, 8, 12, 12, 8, 8, 12, 12, 8, 8, 8, 12, 12, 12, 12, 8, 8, 8, 8, 8, 8, 12, 12, 12, 12, 8, 8, 8, 8, 8, 8, 8, 12, 12, 8, 8, 12, 8, 8, 6], 'positions': [[1.45807409, 6.0, 7.09196295], [1.45807409, 3.85891559, 7.09196295], [1.45807409, 8.14108441, 7.09196295], [7.5139753, 1.71783119, 7.09196295], [4.4860247, 1.71783119, 7.09196295], [6.0, 1.71783119, 5.57798765], [2.97204939, 1.71783119, 5.57798765], [4.4860247, 6.0, 4.06401235], [7.5139753, 6.0, 4.06401235], [7.5139753, 3.85891559, 4.06401235], [6.0, 6.0, 2.55003705], [4.4860247, 3.85891559, 4.06401235], [2.97204939, 3.85891559, 5.57798765], [7.5139753, 6.0, 7.09196295], [4.4860247, 6.0, 7.09196295], [6.0, 3.85891559, 5.57798765], [4.4860247, 3.85891559, 7.09196295], [6.0, 6.0, 5.57798765], [2.97204939, 6.0, 5.57798765], [7.5139753, 3.85891559, 7.09196295], [7.5139753, 8.14108441, 4.06401235], [4.4860247, 8.14108441, 4.06401235], [2.97204939, 8.14108441, 5.57798765], [7.5139753, 10.28216881, 7.09196295], [4.4860247, 10.28216881, 7.09196295], [6.0, 8.14108441, 5.57798765], [4.4860247, 8.14108441, 7.09196295], [6.0, 10.28216881, 5.57798765], [2.97204939, 10.28216881, 5.57798765], [7.5139753, 8.14108441, 7.09196295], [6.0, 6.0, 7.09196295], [6.0, 6.0, 9.44996295], [9.02795061, 1.71783119, 5.57798765], [9.02795061, 3.85891559, 5.57798765], [10.54192591, 6.0, 7.09196295], [10.54192591, 3.85891559, 7.09196295], [9.02795061, 6.0, 5.57798765], [9.02795061, 8.14108441, 5.57798765], [10.54192591, 8.14108441, 7.09196295], [9.02795061, 10.28216881, 5.57798765], [6.0, 6.0, 8.27096295]], 'cell': [[12.0, 0.0, 0.0], [0.0, 12.0, 0.0], [0.0, 0.0, 12.0]], 'pbc': [False, False, False]}","[179.999993784434,3.46225765392317]"
110_12,"{'numbers': [12, 8, 8, 8, 12, 12, 8, 12, 12, 8, 8, 12, 12, 12, 12, 8, 8, 8, 8, 8, 8, 12, 12, 12, 12, 8, 8, 8, 8, 8, 12, 12, 8, 8, 12, 8, 8, 6], 'positions': [[1.45807409, 6.0, 6.4289753], [1.45807409, 3.85891559, 6.4289753], [1.45807409, 8.14108441, 6.4289753], [1.12309879, 6.0, 8.5989753], [7.5139753, 1.71783119, 6.4289753], [4.4860247, 1.71783119, 6.4289753], [6.0, 1.71783119, 4.915], [4.4860247, 6.0, 3.4010247], [7.5139753, 6.0, 3.4010247], [7.5139753, 3.85891559, 3.4010247], [4.4860247, 3.85891559, 3.4010247], [2.97204939, 3.85891559, 4.915], [7.5139753, 6.0, 6.4289753], [4.4860247, 6.0, 6.4289753], [6.0, 3.85891559, 4.915], [4.4860247, 3.85891559, 6.4289753], [6.0, 6.0, 4.915], [2.97204939, 6.0, 4.915], [7.5139753, 3.85891559, 6.4289753], [7.5139753, 8.14108441, 3.4010247], [4.4860247, 8.14108441, 3.4010247], [2.97204939, 8.14108441, 4.915], [7.5139753, 10.28216881, 6.4289753], [4.4860247, 10.28216881, 6.4289753], [6.0, 8.14108441, 4.915], [4.4860247, 8.14108441, 6.4289753], [6.0, 10.28216881, 4.915], [7.5139753, 8.14108441, 6.4289753], [7.179, 6.0, 8.5989753], [4.821, 6.0, 8.5989753], [9.02795061, 3.85891559, 4.915], [10.54192591, 6.0, 6.4289753], [10.54192591, 3.85891559, 6.4289753], [9.02795061, 6.0, 4.915], [9.02795061, 8.14108441, 4.915], [10.54192591, 8.14108441, 6.4289753], [10.87690121, 6.0, 8.5989753], [6.0, 6.0, 8.5989753]], 'cell': [[12.0, 0.0, 0.0], [0.0, 12.0, 0.0], [0.0, 0.0, 12.0]], 'pbc': [False, False, False]}","[177.538997203455,3.12902152701105]"
110_13,"{'numbers': [12, 8, 8, 12, 12, 8, 12, 12, 8, 8, 12, 12, 12, 12, 8, 8, 8, 8, 8, 8, 12, 12, 12, 12, 8, 8, 8, 8, 8, 12, 12, 8, 8, 12, 8, 6], 'positions': [[1.45807409, 6.0, 6.4289753], [1.45807409, 3.85891559, 6.4289753], [1.45807409, 8.14108441, 6.4289753], [7.5139753, 1.71783119, 6.4289753], [4.4860247, 1.71783119, 6.4289753], [6.0, 1.71783119, 4.915], [4.4860247, 6.0, 3.4010247], [7.5139753, 6.0, 3.4010247], [7.5139753, 3.85891559, 3.4010247], [4.4860247, 3.85891559, 3.4010247], [2.97204939, 3.85891559, 4.915], [7.5139753, 6.0, 6.4289753], [4.4860247, 6.0, 6.4289753], [6.0, 3.85891559, 4.915], [4.4860247, 3.85891559, 6.4289753], [6.0, 6.0, 4.915], [2.97204939, 6.0, 4.915], [7.5139753, 3.85891559, 6.4289753], [7.5139753, 8.14108441, 3.4010247], [4.4860247, 8.14108441, 3.4010247], [2.97204939, 8.14108441, 4.915], [7.5139753, 10.28216881, 6.4289753], [4.4860247, 10.28216881, 6.4289753], [6.0, 8.14108441, 4.915], [4.4860247, 8.14108441, 6.4289753], [6.0, 10.28216881, 4.915], [7.5139753, 8.14108441, 6.4289753], [6.0, 7.179, 8.5989753], [6.0, 4.821, 8.5989753], [9.02795061, 3.85891559, 4.915], [10.54192591, 6.0, 6.4289753], [10.54192591, 3.85891559, 6.4289753], [9.02795061, 6.0, 4.915], [9.02795061, 8.14108441, 4.915], [10.54192591, 8.14108441, 6.4289753], [6.0, 6.0, 8.5989753]], 'cell': [[12.0, 0.0, 0.0], [0.0, 12.0, 0.0], [0.0, 0.0, 12.0]], 'pbc': [False, False, False]}","[179.114671391025,4.00533740215968]"
